coin,n_closes,latest_price,slope_ann_pct,r2,momentum_score,ma100,signal,source
AERO,221,0.46209,45.4,0.167,7.5842,0.360521,NEUTRAL,hyperliquid
BLUR,221,0.027934,54.44,0.1257,6.8406,0.02247,NEUTRAL,hyperliquid
MEGA,189,0.17549,41.07,0.1624,6.6722,0.147619,NEUTRAL,hyperliquid
xyz:COIN,155,196.19,35.39,0.1602,5.6686,185.7576,NEUTRAL,hyperliquid
VIRTUAL,221,0.69324,32.51,0.1716,5.5788,0.685313,NEUTRAL,hyperliquid
STABLE,174,0.034948,44.72,0.1178,5.2702,0.026442,NEUTRAL,hyperliquid
xyz:RIVN,105,16.773,24.3,0.1914,4.6508,15.63764,NEUTRAL,hyperliquid
CAKE,221,1.4973,28.38,0.1503,4.2652,1.466766,NEUTRAL,hyperliquid
ETH,221,2287.3,26.88,0.1218,3.2744,2220.418,NEUTRAL,hyperliquid
KAS,221,0.033055,22.15,0.101,2.2369,0.033327,NEUTRAL,hyperliquid
xyz:MU,131,520.7,26.44,0.084,2.2194,412.5618,NEUTRAL,hyperliquid
SPX,221,0.37642,26.86,0.0764,2.051,0.322662,NEUTRAL,hyperliquid
BOME,221,0.00051,28.06,0.0562,1.5774,0.000447,NEUTRAL,hyperliquid
PURR,221,0.06976,23.33,0.0645,1.5039,0.074758,NEUTRAL,hyperliquid
xyz:ORCL,145,169.68,18.95,0.0697,1.3213,156.7647,NEUTRAL,hyperliquid
PENGU,221,0.010183,24.04,0.0547,1.3145,0.007384,NEUTRAL,hyperliquid
xyz:NVDA,168,215.64,15.61,0.0818,1.2774,185.33,NEUTRAL,hyperliquid
ASTER,221,0.63809,18.52,0.0585,1.0834,0.66644,NEUTRAL,hyperliquid
BTC,221,76823.0,15.14,0.0675,1.0222,72796.66,NEUTRAL,hyperliquid
xyz:XYZ100,198,27221.0,10.19,0.0719,0.7328,25030.07,NEUTRAL,hyperliquid
POPCAT,221,0.06211,17.72,0.0404,0.7159,0.055123,NEUTRAL,hyperliquid
DYDX,221,0.15591,27.28,0.0224,0.6116,0.11243,NEUTRAL,hyperliquid
BABY,221,0.015466,18.83,0.0319,0.6002,0.014239,NEUTRAL,hyperliquid
INIT,221,0.092825,18.67,0.0269,0.5029,0.084234,NEUTRAL,hyperliquid
PEOPLE,221,0.007604,11.22,0.0219,0.2459,0.007228,NEUTRAL,hyperliquid
xyz:PLTR,166,142.25,9.26,0.0248,0.2291,145.7441,NEUTRAL,hyperliquid
ILV,219,4.982683,8.84,0.0069,0.0606,4.195722,NEUTRAL,yahoo:ILV-USD
JUP,221,0.19317,7.2,0.0081,0.0585,0.168132,NEUTRAL,hyperliquid
ZRO,221,1.4254,8.31,0.0055,0.046,1.862605,NEUTRAL,hyperliquid
RUNE,221,0.50572,5.87,0.0066,0.0389,0.438355,NEUTRAL,hyperliquid
xyz:GOOGL,162,350.07,4.58,0.0064,0.0291,314.9001,NEUTRAL,hyperliquid
LINK,221,9.2814,3.43,0.0047,0.0162,9.346369,NEUTRAL,hyperliquid
BSV,221,15.552,3.99,0.0035,0.0139,15.5259,NEUTRAL,hyperliquid
MOODENG,221,0.058583,1.75,0.0004,0.0006,0.053159,NEUTRAL,hyperliquid
GMX,221,7.1457,1.17,0.0004,0.0005,6.544581,NEUTRAL,hyperliquid
MNT,221,0.63436,1.04,0.0002,0.0002,0.697705,NEUTRAL,hyperliquid
XLM,221,0.16483,0.54,0.0001,0.0001,0.168738,NEUTRAL,hyperliquid
LDO,221,0.40399,-0.32,0.0,-0.0,0.355973,NEUTRAL,hyperliquid
GAS,221,1.6566,-0.16,0.0,-0.0,1.669096,NEUTRAL,hyperliquid
xyz:COPPER,105,6.0501,-0.4,0.0001,-0.0,5.853603,NEUTRAL,hyperliquid
CELO,221,0.08945,-0.21,0.0,-0.0,0.085613,NEUTRAL,hyperliquid
CHILLGUY,221,0.011348,-1.61,0.0001,-0.0001,0.011008,NEUTRAL,hyperliquid
USTC,221,0.005969,-1.0,0.0002,-0.0002,0.005135,NEUTRAL,hyperliquid
